LocationID,LocationName,AppointmentID,Chair ID,Chairs,Start Time,End Time
1006,ID Consultants - Beachwood,1171209,1,8,8/5/22 11:45,8/5/22 14:45
1035,ID Consultants - Middleburg Heights,1279765,3,5,12/14/22 15:00,12/14/22 18:00
1035,ID Consultants - Middleburg Heights,1406165,2,5,3/8/23 15:00,3/8/23 18:00
1035,ID Consultants - Middleburg Heights,1156126,1,5,9/21/22 14:00,9/21/22 17:00
1034,ID Consultants - Fairlawn,1254466,0,3,9/9/22 12:00,9/9/22 13:00
1035,ID Consultants - Middleburg Heights,1383251,0,5,1/10/23 15:00,1/10/23 18:00
1035,ID Consultants - Middleburg Heights,1158734,1,5,8/3/22 14:00,8/3/22 17:00
1035,ID Consultants - Middleburg Heights,1208991,3,5,9/7/22 14:00,9/7/22 17:00
1035,ID Consultants - Middleburg Heights,1258831,3,5,11/30/22 15:00,11/30/22 18:00
1035,ID Consultants - Middleburg Heights,1442279,2,5,2/14/23 15:00,2/14/23 18:00
86,CIVIC - WILTON,1277498,1,8,10/3/22 12:30,10/3/22 13:30
230,ICPA - Broomall,1102240,1,5,7/14/22 12:30,7/14/22 13:00
230,ICPA - Broomall,1102242,0,5,9/8/22 12:00,9/8/22 12:30
230,ICPA - Broomall,1179815,0,5,11/3/22 12:00,11/3/22 13:00
230,ICPA - Broomall,1385695,0,5,12/29/22 13:00,12/29/22 14:00
230,ICPA - Broomall,1426943,0,5,2/23/23 13:00,2/23/23 14:00
230,ICPA - Broomall,1344290,0,5,12/29/22 13:00,12/29/22 13:30
230,ICPA - Broomall,1449691,0,5,1/31/23 17:00,1/31/23 17:30
1006,ID Consultants - Beachwood,1423304,1,8,2/21/23 20:00,2/21/23 21:30
1006,ID Consultants - Beachwood,1159981,0,8,8/24/22 19:15,8/24/22 20:15
1006,ID Consultants - Beachwood,1241051,0,8,10/19/22 18:45,10/19/22 20:30
1006,ID Consultants - Beachwood,1336719,1,8,11/1/22 18:30,11/1/22 20:15
1006,ID Consultants - Beachwood,1341468,1,8,12/27/22 15:00,12/27/22 16:45
148,ICPA - Jenkintown,1262989,1,6,9/23/22 12:30,9/23/22 13:00
148,ICPA - Jenkintown,1387729,0,6,12/20/22 13:30,12/20/22 14:00
148,ICPA - Jenkintown,1284175,1,6,10/7/22 12:30,10/7/22 13:00
148,ICPA - Jenkintown,1165187,2,6,7/21/22 14:30,7/21/22 15:00
148,ICPA - Jenkintown,1144153,5,6,7/5/22 14:30,7/5/22 15:00
148,ICPA - Jenkintown,1441865,4,6,1/27/23 16:30,1/27/23 17:00
148,ICPA - Jenkintown,1239807,0,6,9/9/22 12:30,9/9/22 13:00
148,ICPA - Jenkintown,1304074,2,6,10/21/22 12:30,10/21/22 13:00
148,ICPA - Jenkintown,1325563,0,6,11/4/22 12:30,11/4/22 13:00
148,ICPA - Jenkintown,1213172,2,6,8/24/22 14:30,8/24/22 15:00
148,ICPA - Jenkintown,1414910,4,6,1/10/23 15:30,1/10/23 16:00
148,ICPA - Jenkintown,1368878,0,6,12/2/22 13:30,12/2/22 14:00
148,ICPA - Jenkintown,1349197,2,6,11/18/22 13:30,11/18/22 14:00
148,ICPA - Jenkintown,1190725,3,6,8/5/22 14:30,8/5/22 15:00
147,ICPA - Royersford,1062621,2,6,10/27/22 13:15,10/27/22 17:15
86,CIVIC - WILTON,1464440,3,8,1/30/23 19:00,1/30/23 20:00
937,CIVIC - NORTH HAVEN,1310708,0,10,12/7/22 13:00,12/7/22 16:00
937,CIVIC - NORTH HAVEN,1394483,0,10,1/25/23 13:00,1/25/23 16:00
